	question_id	tutor_feedback	label	score	lang	student_answer	reference_answer	question
1697	6.2_IPP	The response is partially correct because the option field in IPv4 is not mandatory, and it is often 0 bit long in practice. Therefore, the efficiency gain advantage is incorrect. Also, the hop-by-hop extension header needs to be examined by intermediate routers too.	PARTIAL_CORRECT	0.75	en	"The functionality of options in IPv4 headers is removed and replaced from the main header through a set of so-called extension headers. They are additional headers in the IPv6 which are used for implementing more extensions. The main header has a fixed size of 40 bytes; the extensions headers, on the other hand, are optional and are added as needed. That means you can add extensions without planning it. There are several extension headers: Routing, Fragment, Destination, etc.   The extension headers are placed between the fixed header and the payload. Every extension header points to the next header. There is also the possibility to refer to a ""No Next Header"" which is only to show that nothing else follows. It creates a chain, at the end of which is usually the TCP or UDP header.   Extension headers are a way to extend the header and put additional information between the payload and the header. They are optional, and that's why we have an absolute efficiency gain comparing to IPv4. Because in IPv4, we had at least one part for the option reserved, but in IPv6, we can say there are no extension headers, and so we have a smaller header and, therefore, much more space for the payload. Also, extension headers result in a significant improvement in router performance for packets containing options. In contrast to IPv4, the extension headers are only examined by a router when a packet arrives at its final destination and not along their delivery path."	Extension headers are used to extend the fixed IPv6 header with additional, optional network layer information. If present, they are located between the fixed header/main header and payload/upper-layer header/ transport-layer header.  Main advantage: One of the following advantages are considered fully correct: 1. It allows the appending of new options without changing the header. 2. IPv6 packets with optional headers are typically processed faster/simpler by intermediate devices as most of the options are ignored (except “Hop-by-Hop Extension”) while they are processed by all routers in IPv4 unless ordered otherwise.	What are extension headers in IPv6 and where are they located in a packet? What is the main advantage of extension headers compared to IPv4?
1532	1	Korrekt!	CORRECT	1.0	de	Ich gebe mich zu erkennen und zeige das Schreiben vor. Dann führe ich den Job mit Zustimmung weiter aus. Zudem vermerke ich das bei der Jobausführung.	Der Jobber soll sich in diesem Fall dem Personal gegenüber zu erkennen geben (0.25 P) und das entsprechende Informationsschreiben in der App vorzeigen (0.25 P). Zusätzlich muss notiert werden, zu welchem Zeitpunkt (0.25 P) des Jobs der Jobber enttarnt wurde. Zentrale Frage ist dabei, ob ein neutrales, unvoreingenommenes Verkaufsgespräch stattgefunden hat. Der Job soll mit Erlaubnis der Mitarbeiter bis zum Ende durchgeführt (0.25 P) werden.	Frage 1: Wie reagierst du, wenn du auf deine Tätigkeit angesprochen wirst?
2535	2.3_DLL_v1.1	The response identifies the underlying requirement duplex connection correctly.	CORRECT	1	en	Piggybacking only makes sense if there is a full-duplex or semi-duplex connection between sender and receiver. Therefore, the ACK for a data frame from a sender is sent in one frame with the next data frame issued by the receiver. Thus, the requirement for piggybacking is a duplex connection (and the need of sending an ACK).	Piggybacking only makes sense if there is a full-duplex or semi-duplex connection between sender and receiver i.e.  two-way communication or Frames must contain additional field for acknowledgement.	What requirement has to be met so that you can use the piggybacking extension to the sliding window protocol?
2872	10.2_TC	The response is correct and complete as it provides the phases' names and changes in the value of the congestion window and threshold correctly.	CORRECT	1	en	The first phase, slow start, will double cwnd every round-trip time by increasing it by 1 for each received ACK. When cwnd reaches ss_thresh, the congestion avoidance phase is entered. The congestion avoidance phase will additively increase cwnd by 1 every round-trip time. If congestion is encountered in any of the phases, ss_thresh is set to half the value of cwnd, cwnd is set to 1 and the slow start phase is entered.	Slow start (cwnd less than ss_thresh):  In the slow start phase, cwnd is incremented by one every time a segment is acknowledged. This results in an exponential growth as cwnd is essentially doubled after each Round Trip Time (RTT). This is done until either a packet is lost or ss_thresh is reached. When cwnd >= ss_thresh, the congestion avoidance phase is entered.  After a packet is lost / congestion the following adaption is made in both phases: ss_thresh = cwnd / 2. Then cwnd is reset to 1.   Congestion Avoidance (cwnd >= ss_thresh)::  In the congestion avoidance phase, cwnd is incremented more slowly. There are different incrementation strategies, but they usually grow linearly, e.g. only increment cwnd by 1 after all sent segments have been acknowledged. This is done until a packet is lost. Typically, this means that cwnd less than ss_thresh and the slow start phase is entered again.  After a packet is lost / congestion the following adaption is made in both phases: ss_thresh = cwnd / 2. Then cwnd is reset to 1.	In the lecture you have learned about congestion control with TCP. Name the 2 phases of congestion control and explain how the Congestion Window (cwnd) and the Slow Start Threshold (ss_thresh) change in each phase (after initialization, where cwnd = 1 and ss_thresh = advertised window size) in 1-4 sentences .
2595	2.3_DLL_v1.1	The response answers the underlying requirement correctly.	CORRECT	1	en	A duplex operation mode is required, so that both communication partners can send data frames with piggybacked acknowledgments. (Efficient if window size greater than 1 only.)	Piggybacking only makes sense if there is a full-duplex or semi-duplex connection between sender and receiver i.e.  two-way communication or Frames must contain additional field for acknowledgement.	What requirement has to be met so that you can use the piggybacking extension to the sliding window protocol?
1411	1	Bitte halte in der App noch fest, wann genau du angesprochen wurdest. Sofern es das Personal gestattet, kannst du den Check auch gerne noch abschließen.	PARTIAL_CORRECT	0.5	de	Ich gebe mich zu erkennen und lege dem Mitarbeiter das Informationsschreiben vor, welches ich von Ihnen erhalten habe.	Der Jobber soll sich in diesem Fall dem Personal gegenüber zu erkennen geben (0.25 P) und das entsprechende Informationsschreiben in der App vorzeigen (0.25 P). Zusätzlich muss notiert werden, zu welchem Zeitpunkt (0.25 P) des Jobs der Jobber enttarnt wurde. Zentrale Frage ist dabei, ob ein neutrales, unvoreingenommenes Verkaufsgespräch stattgefunden hat. Der Job soll mit Erlaubnis der Mitarbeiter bis zum Ende durchgeführt (0.25 P) werden.	Frage 1: Wie reagierst du, wenn du auf deine Tätigkeit angesprochen wirst?
1563	8.2_MM	The purpose of the RPB algorithm is missing in the response. Additionally, the purpose is not limited to unicast and multicast but instead used widely in broadcast too.	PARTIAL_CORRECT	0.9	en	Reverse Path Forwarding: Used for ensuring loop-free forwarding of multicast packets in multicast routing and to help prevent IP address spoofing in unicast routing.  Checks if the packet arrived at the IS entry port over which the packets for this station/source are usually sent. If packet is assumed taking the best route: resend over all edges (not including the incoming one). If packet is assumed not taking the best route: discard packet.  Reverse Path Broadcast: Used to check if the set of shortest paths to a node forms a tree that spans the network.  If the packet arrives at the IS entry over which the packets for this station/source are usually sent: Checks if Packet used the BEST route until now: if yes, select the edge at which the packets arrived and from which they are then rerouted to source. If no, do not send over all edges (without the incoming one). If the packet is not for this station/source: discard packet.	Purpose: Both implement a more efficient kind (in terms of duplicate packets) of broadcasting than flooding / to minimize the number of duplicate packets in the network when broadcasting.  Reverse Path Forwarding:  Each node has a routing table stemming from unicast routing algorithms. When receiving a packet of sender S from neighbor N at node X, check the routing table and only forward the packet to all adjacent nodes (except for N) when you would send packets to S over N → the assumption is that the packet used the BEST route until now. Reverse Path Broadcast: Nodes monitor unicast traffic to learn which paths in the network they are a part of, that is node X knows that is on the best path between two nodes A and B if it receives unicast packets coming from A and going to B or visa versa. In other words, each node knows which spanning trees it is part of in the network. Reverse Path Broadcasting works identical to Reverse Path Forwarding with the exception that it only forwards packets on edges that are part of a spanning tree (again excluding the incoming line to N).	WHAT is the purpose of Reverse Path Forwarding and Reverse Path Broadcast? HOW do they work?
104	8	Bitte auch darauf ob die Waren aufgefüllt und ordentlich ausgepreist sind.	PARTIAL_CORRECT	0.5	de	Ob der Gesamteindruck gepflegt und einen sicheren Eindruck machte.	Das Gesamterscheinungsbild besteht aus der Sauberkeit (0.5 P) des Shops und der Ausstattung mit Waren (0.5 P). Bei der Sauberkeit des Shops ist z.B. auf die Sauberkeit der Fußböden oder der Brötchenauslage zu achten. Der bautechnische Zustand des Shops soll hier nicht berücksichtigt werden! Bei der Ausstattung mit Waren soll darauf geachtet werden, ob die Regale vollständig mit Produkten bestückt sind und ob der Kunde eine Wertigkeit oder einen Nutzen in den Produkten sieht.	Frage 8: Worauf sollst du in Bezug auf das Gesamterscheinungsbild des Shops achten?
1057	3	Im Laufe des Kundengesprächs solltest du auch nach deiner Shell Clubsmart Karte gefragt werden.	PARTIAL_CORRECT	0.75	de	Zu achten ist über die Art der Ansprache und Verabschiedung. Erfolgte diese ggf. mit persönlichen Worten. Wurde ich freundlich bedient und wurden mir weitere Angebote unterbreitet.	In der Interaktion mit dem Mitarbeiter soll sowohl auf menschliche, als auch auf verkäuferische Aspekte geachtet werden. Menschliche Komponenten beinhalten z.B. die Begrüßung (0.25 P), Verabschiedung (0.25 P), Höflichkeit oder Fokus auf den Kunden. Verkäuferische Aspekte sind z.B. die Nachfrage nach Upselling (Zusatzangebot) (0.25 P) oder einer Kundenkarte (0.25 P).	Frage 3: Worauf sollst du im Kundengespräch mit dem Mitarbeiter achten?
2755	8.1_MM	The response is partially correct because the device portability is not an actual challenge beyond what is already stated in the previous challenges.	PARTIAL_CORRECT	0.75	en	Network Topology and Access Points- Network topology and Access Points changes faster when the devices are moving around which is not the case in fixed network. Security - As the network could be available even inside and outside the building, it possesses a threat to security. User Mobility: The users can be moving from one network to another and want to communicate anytime with anyone without losing the network.  Device Portability: The device can change in a period of time but having the portability with the other device to connect anytime and anywhere to the network.	Possible Challenges: 1.Adaptation: The network has to handle the dynamic positioning of the nodes/topology changes. Additionally, nodes can leave or join the network anywhere (within signal range) at any time. 2.Security: Interception of packets or injection of faulty packages is easily possible in wireless networks. This may necessitate encryption and authentication. 3.Medium Access Control: Wireless networks feature new possibilities for inference and collisions of the transmitted signals. See the following correct example challenges: i)Hidden Terminal: Nodes’ transmissions may collide at other nodes without them noticing, because they are out of detection range of each other (A and C in this example) and therefore sense the medium to be free even though there is an overlap of the transmission ranges.  ii)Exposed Terminal: Nodes (C in this example) may not realize they could send collision-free, because a node in their detection range (B) is sending and they, therefore, detect the medium as busy, but the sending node (B) is out of the detection range of the destination node (D) so that no collision would occur. iii)Near and Far Terminals: Signal strength decreases proportionally to the square of distance, so closer nodes may drown out the weaker signals of nodes farther away. 4.Quality of Service (QoS): Due to the rapidly changing network topology, imprecise network information, and resource constraints of participating nodes, it is challenging to provide the desired QoS. Additionally, signal quality may also decline due to noise and occlusion. 5.Scalability: Since it is not possible to know the number of participating nodes beforehand, it is vital that routing protocols, etc. are capable of dealing with increasing network sizes and workloads.  6.Heterogeneity: Nodes may have different capabilities, responsibilities, and constraints, e.g. processing capacity, transmission ranges 7.Dependability: Providing consistent, performant, and reliable routing behavior that higher-level services can trust is challenging in such a dynamic environment.  8.Power Consumption: As most mobile devices are battery-powered, power consumption becomes an important optimization factor in routing, etc.	WHAT are the challenges of Mobile Routing compared to routing in fixed and wired networks? Please NAME and DESCRIBE two challenges.
