ID,key_element,points
1,Replication,"0,25"
2,Partitioning,"0,25"
3,Replication: Issue of scalability,"0,25"
4,"Replication: More resources, more cost","0,25"
5,"Replication: Wastage of resources as the replicated node is on standby and no actual load
distribution occurs.","0,25"
6,Replication: The problem to keep the data consistent in the replicated node is hard and complex.,"0,25"
7,Partitioning: Raises issues similar to P2P networks,"0,25"
8,Partitioning: Knowledge about neighborhood,"0,25"
9,Partitioning: Coordination and consistency,"0,25"
10,Partitioning: Lower availability,"0,25"
