model,rmse_de,rmse_en,qwk_de,qwk_en
Baseline MBart,"0,333","0,373",-,-
TC + DT full,"0,093","0,076","0,591","0,428"
SP + DT full,"0,096","0,087","0,550","0,336"
TC + S full,"0,428","0,536","0,081","0,085"
SP + S full,"0,428","0,639","0,081","0,046"
TC + DT monolingual,"0,197","0,083","0,148","0,331"
SP + DT monolingual,"0,108","0,084","0,496","0,400"
TC + S monolingual,"0,433","0,555","0,073","0,091"
SP + S monolingual,"0,424","0,562","0,086","0,036"
TC + DT small,"0,166","0,094","0,139","0,280"
SP + DT small,"0,089","0,073","0,596","0,421"
TC + S small,"0,448","0,587","0,058","0,059"
SP + S small,"0,432","0,578","0,078","0,036"
